block,Total Employment
130630406062021,21
130630406062024,140
130630406062025,4
130630406062026,76
130630406062030,2
130630406081000,179
130630406081006,133
130630406081008,215
130630406081010,7
130630406081017,2
130630406081023,4
130630406081024,9
130630406081046,3
130630406081049,6
130630406081053,18
130630406081058,6
130630406081064,4
130630406081078,18
130630406081091,2
130630406081095,42
130630406081097,5
130630406081099,2
130630406082001,4
130630406082002,19
130630406082004,96
130630406082009,1
130630406082011,3
130630406082013,2
130630406082017,1
130630406091001,188
130630406091003,13
130630406091004,3
130630406091006,97
130630406091008,2
130630406091009,2
130630406091012,4
130630406091015,856
130630406091018,5
130630406091027,168
130630406091028,6
130630406091031,58
130630406091035,7
130630406091036,2
130630406092000,26
130630406092006,54
130630406092011,1
130630406092012,2
130630406092014,204
130630406092020,2
130630406093002,699
130630406093003,77
130630406093004,288
130630406093008,414
130630406093015,7
130630406093020,4
130630406111000,5
130630406111001,27
130630406111012,71
130630406111013,23
130630406111014,167
130630406112000,37
130630406112001,469
130630406112002,224
130630406112009,9
130630406112012,18
130630406112013,13
130630406112021,3
130630406113000,46
130630406113001,14
130630406113003,11
130630406113009,22
130630406113010,2
130630406113015,147
130630406113016,34
130630406113017,12
130630406113018,24
130630406113019,3
130630406113021,9
130630406113023,13
130630406121002,3
130630406121006,843
130630406121010,89
130630406121019,10
130630406121020,91
130630406121021,4
130630406121025,152
130630406121026,36
130630406121027,33
130630406121030,3
130630406121031,12
130630406121033,3974
130630406121034,115
130630406121037,8
130630406121038,135
130630406121042,142
130630406122001,9
130630406122005,208
130630406122006,15
130630406122007,193
130630406122021,60
130630406122023,8
130630406122024,1
130630406122031,85
130630406122037,51
130630406123000,25
130630406123002,5
130630406123003,9
130630406123004,9
130630406123014,75
130630406123015,463
130630406123022,46
130630406123024,5
130630406123026,51
130630406123028,7
130630406123034,2
130630406123040,502
130630406123044,23
130630406123047,18
130630406123050,1
130630406131000,2
130630406131009,152
130630406131013,24
130630406131018,22
130630406131022,130
130630406131026,50
130630406131029,23
130630406132000,19
130630406132006,16
130630406132015,2
130630406132016,31
130630406132017,38
130630406132019,18
130630406132025,41
130630406132026,19
130630406132028,9
130630406133000,4
130630406133002,4
130630406133004,3
130630406133010,13
130630406133014,6
130630406133016,18
130630406141000,24
130630406141003,1
130630406141004,192
130630406141006,10
130630406141007,111
130630406141011,1
130630406141022,10
130630406141025,1
130630406141026,4
130630406142008,1
130630406142019,12
130630406142024,2
130630406142025,1
130630406142035,1
130630406142039,4
130630406142040,30
130630406142041,1
130630406142044,3
130630406143001,1
130630406143004,12
130630406143005,22
130630406143006,4
130630406143011,7
130630406151004,1
130630406151007,47
130630406151008,11
130630406161000,432
130630406161001,32
130630406161003,6
130630406161008,191
130630406161012,399
130630406163002,205
130630406163009,207
130630406163014,52
130630406171000,166
130630406171007,2
130630406171008,3
130630406171010,16
130630406171016,11
130630406171017,47
130630406171018,5
130630406191000,7
130630406191001,28
130630406191002,2
130630406191009,34
130630406191010,1
130630406191017,118
130630406201000,13
130630406201002,1
130630406201006,2
130630406201008,3
130630406201009,146
130630406201014,4
130630406201016,1
130630406201023,14
130630406201025,84
130630406201026,27
130630406201028,6
130630406201032,3
130630406201036,111
130630406211000,95
130630406211003,5
130630406211013,6
130630406211018,9
130630406212001,51
130630406212017,249
130630406212018,3
130630406212027,6
130630406212029,5
130630406221000,40
130630406221003,56
130630406221008,2
130630406221024,147
130630406222000,1
130630406222005,16
